Date,High,Low,Open,Close,Volume,Adj Close
2018-05-14,23.799999237060547,23.0,23.5,23.0,11000,23.0
2018-05-15,23.5,22.5,23.5,23.5,4600,23.5
2018-05-16,23.5,22.5,23.5,22.5,3100,22.5
2018-05-17,23.399999618530273,22.799999237060547,23.0,23.0,3800,23.0
2018-05-18,23.5,22.5,23.0,23.5,7000,23.5
2018-05-21,24.5,23.0,23.0,24.0,14400,24.0
2018-05-22,25.0,24.0,24.0,24.5,17000,24.5
2018-05-23,25.0,24.0,24.5,24.5,3100,24.5
2018-05-24,25.0,24.0,24.5,24.5,7000,24.5
2018-05-25,25.0,23.799999237060547,24.0,25.0,17400,25.0
2018-05-29,25.0,24.5,24.5,24.5,5600,24.5
2018-05-30,26.0,24.5,24.5,25.5,20400,25.5
2018-05-31,27.0,25.0,26.0,25.5,16100,25.5
2018-06-01,27.0,25.5,25.5,27.0,15900,27.0
2018-06-04,27.0,26.0,27.0,26.0,10800,26.0
2018-06-05,26.5,25.0,26.5,25.0,15600,25.0
2018-06-06,25.0,24.0,25.0,24.0,17500,24.0
2018-06-07,24.5,23.799999237060547,24.0,24.0,5600,24.0
2018-06-08,24.5,23.5,23.5,24.0,4000,24.0
2018-06-11,24.5,24.0,24.0,24.0,2900,24.0
2018-06-12,24.5,24.0,24.0,24.0,2100,24.0
2018-06-13,25.5,24.0,24.5,25.0,7200,25.0
2018-06-14,26.5,25.0,25.0,25.5,4800,25.5
2018-06-15,26.5,25.0,25.5,25.5,14700,25.5
2018-06-18,25.5,25.0,25.5,25.0,4800,25.0
2018-06-19,25.5,22.5,25.5,22.5,41200,22.5
2018-06-20,24.0,22.0,22.5,22.0,52300,22.0
2018-06-21,23.5,22.0,22.0,23.0,11300,23.0
2018-06-22,23.5,22.5,22.5,23.0,9500,23.0
2018-06-25,25.0,22.799999237060547,23.0,24.0,9500,24.0
2018-06-26,33.0,27.0,32.0,29.0,490800,29.0
2018-06-27,29.0,26.0,29.0,27.5,134500,27.5
2018-06-28,30.5,27.299999237060547,28.0,29.0,60800,29.0
2018-06-29,29.700000762939453,27.100000381469727,29.5,28.5,54800,28.5
2018-07-02,31.5,28.799999237060547,29.0,31.0,63000,31.0
2018-07-03,31.0,27.5,30.5,28.5,22900,28.5
2018-07-05,31.0,28.5,28.5,30.0,23000,30.0
2018-07-06,32.0,29.600000381469727,30.0,30.5,54200,30.5
2018-07-09,32.5,30.5,30.5,32.0,54200,32.0
2018-07-10,32.5,31.0,32.0,32.0,39800,32.0
2018-07-11,32.5,31.100000381469727,32.0,32.5,12000,32.5
2018-07-12,33.0,32.0,32.5,32.5,23300,32.5
2018-07-13,32.5,31.0,32.0,32.0,20300,32.0
2018-07-16,32.0,31.5,32.0,32.0,10200,32.0
2018-07-17,32.0,31.0,32.0,31.5,22300,31.5
